PX,PX_TYPE
31080,CH
31081,CH
31084,CH
31085,CH
31086,CH
31087,CH
31090,CH
31200,CH
31201,CH
31205,CH
31225,CH
31230,CH
31290,CH
31291,CH
31292,CH
31293,CH
31294,CH
31300,CH
31360,CH
31365,CH
31367,CH
31368,CH
31370,CH
31375,CH
31380,CH
31382,CH
31390,CH
31395,CH
31400,CH
31420,CH
31540,CH
31541,CH
31545,CH
31546,CH
31551,CH
31552,CH
31553,CH
31554,CH
31560,CH
31561,CH
31580,CH
31582,CH
31584,CH
31587,CH
31588,CH
31590,CH
31591,CH
31592,CH
31595,CH
31600,CH
31601,CH
31603,CH
31605,CH
31610,CH
31611,CH
31613,CH
31614,CH
31750,CH
31755,CH
31760,CH
31766,CH
31770,CH
31775,CH
31780,CH
31781,CH
31785,CH
31786,CH
31800,CH
31805,CH
31820,CH
31825,CH
31830,CH
32035,CH
32036,CH
32100,CH
32110,CH
32120,CH
32124,CH
32140,CH
32141,CH
32150,CH
32151,CH
32160,CH
32200,CH
32201,CH
32215,CH
32220,CH
32225,CH
32310,CH
32320,CH
32440,CH
32442,CH
32445,CH
32480,CH
32482,CH
32484,CH
32486,CH
32488,CH
32491,CH
32500,CH
32503,CH
32504,CH
32505,CH
32540,CH
32650,CH
32651,CH
32652,CH
32654,CH
32655,CH
32656,CH
32657,CH
32658,CH
32659,CH
32660,CH
32661,CH
32662,CH
32663,CH
32664,CH
32665,CH
32666,CH
32669,CH
32670,CH
32671,CH
32672,CH
32673,CH
32800,CH
32810,CH
32815,CH
32820,CH
32851,CH
32852,CH
32853,CH
32854,CH
32900,CH
32905,CH
32906,CH
32940,CH
33015,CH
33020,CH
33025,CH
33030,CH
33031,CH
33050,CH
33120,CH
33130,CH
33140,CH
33200,CH
33201,CH
33202,CH
33203,CH
33206,CH
33207,CH
33208,CH
33210,CH
33211,CH
33212,CH
33213,CH
33214,CH
33215,CH
33216,CH
33217,CH
33218,CH
33220,CH
33221,CH
33222,CH
33223,CH
33224,CH
33226,CH
33227,CH
33228,CH
33229,CH
33230,CH
33231,CH
33233,CH
33234,CH
33235,CH
33236,CH
33237,CH
33238,CH
33240,CH
33241,CH
33243,CH
33244,CH
33245,CH
33246,CH
33249,CH
33250,CH
33251,CH
33253,CH
33254,CH
33255,CH
33256,CH
33261,CH
33262,CH
33263,CH
33264,CH
33265,CH
33266,CH
33300,CH
33305,CH
33310,CH
33315,CH
33320,CH
33321,CH
33322,CH
33330,CH
33332,CH
33335,CH
33340,CH
33361,CH
33362,CH
33363,CH
33364,CH
33365,CH
33366,CH
33390,CH
33391,CH
33400,CH
33401,CH
33403,CH
33404,CH
33405,CH
33406,CH
33410,CH
33411,CH
33412,CH
33413,CH
33414,CH
33415,CH
33416,CH
33417,CH
33418,CH
33420,CH
33422,CH
33425,CH
33426,CH
33427,CH
33430,CH
33460,CH
33463,CH
33464,CH
33465,CH
33468,CH
33470,CH
33471,CH
33472,CH
33474,CH
33475,CH
33476,CH
33477,CH
33478,CH
33496,CH
33500,CH
33501,CH
33502,CH
33503,CH
33504,CH
33505,CH
33506,CH
33507,CH
33510,CH
33511,CH
33512,CH
33513,CH
33514,CH
33516,CH
33533,CH
33534,CH
33535,CH
33536,CH
33542,CH
33545,CH
33548,CH
33600,CH
33602,CH
33606,CH
33608,CH
33610,CH
33611,CH
33612,CH
33615,CH
33617,CH
33619,CH
33620,CH
33621,CH
33622,CH
33641,CH
33645,CH
33647,CH
33660,CH
33665,CH
33670,CH
33675,CH
33676,CH
33677,CH
33681,CH
33684,CH
33688,CH
33690,CH
33692,CH
33694,CH
33697,CH
33702,CH
33710,CH
33720,CH
33722,CH
33724,CH
33726,CH
33730,CH
33732,CH
33735,CH
33736,CH
33737,CH
33750,CH
33755,CH
33762,CH
33764,CH
33766,CH
33767,CH
33770,CH
33771,CH
33774,CH
33775,CH
33776,CH
33777,CH
33778,CH
33779,CH
33780,CH
33781,CH
33782,CH
33783,CH
33786,CH
33788,CH
33800,CH
33802,CH
33803,CH
33813,CH
33814,CH
33820,CH
33822,CH
33824,CH
33840,CH
33845,CH
33851,CH
33852,CH
33853,CH
33860,CH
33861,CH
33863,CH
33864,CH
33870,CH
33875,CH
33877,CH
33880,CH
33881,CH
33883,CH
33886,CH
33889,CH
33891,CH
33910,CH
33915,CH
33916,CH
33917,CH
33920,CH
33922,CH
33925,CH
33926,CH
33935,CH
33945,CH
33970,CH
33971,CH
33973,CH
33974,CH
33975,CH
33976,CH
33977,CH
33978,CH
33979,CH
33980,CH
33981,CH
33982,CH
33983,CH
33988,CH
33989,CH
34001,CH
34051,CH
34101,CH
34111,CH
34151,CH
34201,CH
34203,CH
34401,CH
34421,CH
34451,CH
34471,CH
34490,CH
34501,CH
34502,CH
34510,CH
34520,CH
34530,CH
34800,CH
34802,CH
34803,CH
34804,CH
34805,CH
34812,CH
34820,CH
34825,CH
34830,CH
34831,CH
34832,CH
34833,CH
34834,CH
34841,CH
34842,CH
34843,CH
34844,CH
34845,CH
34846,CH
34847,CH
34848,CH
34900,CH
35001,CH
35002,CH
35005,CH
35011,CH
35013,CH
35021,CH
35022,CH
35045,CH
35081,CH
35082,CH
35091,CH
35092,CH
35102,CH
35103,CH
35111,CH
35112,CH
35121,CH
35122,CH
35131,CH
35132,CH
35141,CH
35142,CH
35151,CH
35152,CH
35180,CH
35182,CH
35184,CH
35188,CH
35189,CH
35190,CH
35201,CH
35206,CH
35207,CH
35211,CH
35216,CH
35221,CH
35226,CH
35231,CH
35236,CH
35241,CH
35246,CH
35251,CH
35256,CH
35261,CH
35266,CH
35271,CH
35276,CH
35281,CH
35286,CH
35301,CH
35302,CH
35303,CH
35304,CH
35305,CH
35311,CH
35321,CH
35331,CH
35341,CH
35351,CH
35355,CH
35361,CH
35363,CH
35371,CH
35372,CH
35381,CH
35450,CH
35452,CH
35454,CH
35456,CH
35458,CH
35459,CH
35460,CH
35480,CH
35481,CH
35482,CH
35483,CH
35484,CH
35485,CH
35501,CH
35506,CH
35507,CH
35508,CH
35509,CH
35510,CH
35511,CH
35512,CH
35515,CH
35516,CH
35518,CH
35521,CH
35522,CH
35523,CH
35525,CH
35526,CH
35531,CH
35533,CH
35535,CH
35536,CH
35537,CH
35538,CH
35539,CH
35540,CH
35541,CH
35546,CH
35548,CH
35549,CH
35551,CH
35556,CH
35558,CH
35560,CH
35563,CH
35565,CH
35566,CH
35570,CH
35571,CH
35583,CH
35585,CH
35587,CH
35601,CH
35606,CH
35612,CH
35616,CH
35621,CH
35623,CH
35626,CH
35631,CH
35632,CH
35633,CH
35634,CH
35636,CH
35637,CH
35638,CH
35641,CH
35642,CH
35645,CH
35646,CH
35647,CH
35650,CH
35651,CH
35654,CH
35656,CH
35661,CH
35663,CH
35665,CH
35666,CH
35671,CH
35691,CH
35693,CH
35694,CH
35695,CH
35701,CH
35721,CH
35741,CH
35761,CH
35800,CH
35820,CH
35840,CH
35860,CH
35870,CH
35875,CH
35876,CH
35879,CH
35881,CH
35883,CH
35884,CH
35901,CH
35903,CH
35905,CH
35907,CH
36260,CH
36680,CH
36800,CH
36810,CH
36815,CH
36818,CH
36819,CH
36820,CH
36821,CH
36822,CH
36823,CH
36825,CH
36830,CH
36831,CH
36832,CH
36833,CH
36834,CH
36835,CH
36838,CH
37140,CH
37145,CH
37160,CH
37180,CH
37181,CH
37182,CH
37184,CH
37187,CH
37188,CH
37191,CH
37192,CH
37193,CH
37204,CH
37205,CH
37207,CH
37210,CH
37215,CH
37216,CH
37217,CH
37218,CH
37220,CH
37221,CH
37224,CH
37225,CH
37226,CH
37227,CH
37228,CH
37229,CH
37230,CH
37231,CH
37236,CH
37238,CH
37500,CH
37565,CH
37600,CH
37605,CH
37606,CH
37607,CH
37615,CH
37616,CH
37617,CH
37618,CH
37619,CH
37620,CH
37650,CH
37660,CH
37700,CH
37718,CH
37722,CH
37735,CH
37760,CH
37761,CH
37765,CH
37766,CH
37780,CH
37785,CH
37788,CH
37790,CH
38100,CH
38101,CH
38115,CH
38120,CH
38308,CH
38380,CH
38381,CH
38382,CH
38510,CH
38520,CH
38525,CH
38542,CH
38550,CH
38555,CH
38562,CH
38564,CH
38571,CH
38572,CH
38700,CH
38720,CH
38724,CH
38740,CH
38745,CH
38760,CH
38765,CH
38770,CH
38780,CH
39000,CH
39010,CH
39200,CH
39220,CH
39501,CH
39502,CH
39503,CH
39520,CH
39530,CH
39531,CH
39540,CH
39541,CH
39545,CH
39560,CH
39561,CH
40500,CH
40510,CH
40520,CH
40525,CH
40527,CH
40530,CH
40700,CH
40701,CH
40702,CH
40720,CH
40761,CH
40814,CH
40816,CH
40818,CH
40840,CH
40842,CH
40843,CH
40844,CH
40845,CH
41016,CH
41017,CH
41018,CH
41114,CH
41120,CH
41130,CH
41135,CH
41140,CH
41145,CH
41150,CH
41153,CH
41155,CH
41500,CH
41510,CH
41512,CH
41520,CH
41823,CH
41827,CH
41830,CH
41870,CH
41872,CH
41874,CH
42107,CH
42120,CH
42140,CH
42145,CH
42200,CH
42205,CH
42210,CH
42215,CH
42220,CH
42225,CH
42226,CH
42227,CH
42235,CH
42260,CH
42281,CH
42305,CH
42335,CH
42340,CH
42408,CH
42410,CH
42415,CH
42420,CH
42425,CH
42426,CH
42440,CH
42450,CH
42500,CH
42505,CH
42507,CH
42508,CH
42509,CH
42510,CH
42600,CH
42665,CH
42725,CH
42815,CH
42820,CH
42821,CH
42825,CH
42826,CH
42830,CH
42831,CH
42835,CH
42836,CH
42842,CH
42844,CH
42845,CH
42860,CH
42870,CH
42890,CH
42892,CH
42894,CH
42950,CH
42953,CH
42955,CH
42961,CH
42962,CH
42971,CH
42972,CH
43020,CH
43030,CH
43045,CH
43100,CH
43101,CH
43107,CH
43108,CH
